---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                                                                               
---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  backgroundScans.ts             |   68.06 |     48.1 |   68.75 |   69.92 | 81-102,110-112,126-127,133-147,156,184-186,189,193-194,197-202,204-205,213-241,270,295-312,324-326,354,392-393,428-462,544,554-566                                                                                                                                                                              
  contracts.ts                   |   80.54 |    57.05 |   78.37 |   83.25 | 22,93-96,157,160,183-190,226,242-244,259-264,292-294,316-317,326-333,339-344,349                                                                                                                                                                                                                                
  externalCommissions.ts         |   32.14 |        0 |   28.57 |   33.33 | 18-22,26-32,36-39                                                                                                                                                                                                                                                                                               
  financial.ts                   |   93.18 |    66.07 |   94.11 |   95.83 | 35,161,176                                                                                                                                                                                                                                                                                                      
  installmentConstants.ts        |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  installments.ts                |   70.25 |    57.07 |      56 |    74.4 | 33-40,93-105,124,129,145-182,229-243,250-259,350,369,384,403-412,481-482,497-498,503-505,517,519,541-546,587-592                                                                                                                                                                                                
  keys.ts                        |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  kv.ts                          |   94.11 |       80 |     100 |   94.11 | 22                                                                                                                                                                                                                                                                                                              
  lookupKeys.ts                  |   92.85 |    66.66 |     100 |     100 | 4-19                                                                                                                                                                                                                                                                                                            
  marqueeInternal.ts             |   39.28 |    23.37 |   63.63 |   45.07 | 36,39-63,67-68,74-78,85-86,89-94,129-130,137                                                                                                                                                                                                                                                                    
  messageTemplates.ts            |   71.87 |     72.5 |   70.58 |   77.77 | 55,100-103,114-135                                                                                                                                                                                                                                                                                              
  mockDbConstants.ts             |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  paymentNotifications.ts        |   45.23 |    29.03 |   57.14 |   49.25 | 18-19,23-25,104-144,149-155,162-167,171-175                                                                                                                                                                                                                                                                     
  people.ts                      |   53.72 |    29.28 |   66.66 |   54.86 | 31-52,103,107-119,177-178,187-188,206,213,238,244-247,259,329,345,353-388,396-438,442-505,512-515                                                                                                                                                                                                               
  properties.ts                  |   90.38 |    76.19 |   86.66 |   91.11 | 20,48,67,73                                                                                                                                                                                                                                                                                                     
  refs.ts                        |   39.39 |    10.34 |   11.11 |   44.82 | 12,15,20,23-29,39,42-45,51,57                                                                                                                                                                                                                                                                                   
  resetOperationalData.ts        |   66.66 |    27.27 |   66.66 |   71.42 | 10,16-18                                                                                                                                                                                                                                                                                                        
  sales.ts                       |   16.21 |     11.7 |      10 |   18.99 | 24-83,89-111,115-116,120-141,145-178,193-259,263-298,366-367                                                                                                                                                                                                                                                    
  settings.ts                    |   23.33 |     7.69 |   33.33 |   20.68 | 11,59-81,86-99                                                                                                                                                                                                                                                                                                  
  smartEngineBridge.ts           |   41.66 |     12.5 |   66.66 |   41.66 | 17-36                                                                                                                                                                                                                                                                                                           
 services/db/operations          |   81.81 |       50 |   66.66 |      80 |                                                                                                                                                                                                                                                                                                                 
  logger.ts                      |   81.81 |       50 |   66.66 |      80 | 38,45                                                                                                                                                                                                                                                                                                           
 services/db/system              |   51.58 |     28.9 |   46.64 |   55.08 |                                                                                                                                                                                                                                                                                                                 
  activities.ts                  |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  attachments.ts                 |   11.34 |        0 |    6.25 |    11.9 | 12,21-22,32-94,99-110,117-136,143-153,158-172                                                                                                                                                                                                                                                                   
  dynamic.ts                     |   63.33 |        0 |      50 |   65.38 | 28-32,40-41,48-50                                                                                                                                                                                                                                                                                               
  followups.ts                   |   48.43 |    33.33 |   31.25 |    53.7 | 12-14,18,22-23,63-78,83-87                                                                                                                                                                                                                                                                                      
  inspections.ts                 |   22.91 |        0 |   15.38 |    27.5 | 13-15,19,22-23,32-45,49-58,62-68                                                                                                                                                                                                                                                                                
  legal.ts                       |   68.42 |    39.02 |   48.14 |   75.86 | 70-73,100-101,105-109,114-116                                                                                                                                                                                                                                                                                   
  lookups.ts                     |   27.27 |    13.41 |   20.83 |   32.11 | 45-47,51-64,73-102,107,131-146,150-161,165-205                                                                                                                                                                                                                                                                  
  maintenance.ts                 |   93.75 |       50 |     100 |   96.29 | 29                                                                                                                                                                                                                                                                                                              
  marquee.ts                     |   46.71 |    17.82 |   41.17 |      50 | 69,84-118,128,161-162,165-195,203,207-214,219-230,245-246                                                                                                                                                                                                                                                       
  notes.ts                       |   21.56 |     5.55 |    9.09 |    23.4 | 16,22-30,34-63,67-69,73-82,86-92                                                                                                                                                                                                                                                                                
  reminders.ts                   |   45.09 |    16.66 |   41.66 |   45.65 | 12,21,27-35,49,55-63,69-75                                                                                                                                                                                                                                                                                      
  reports.ts                     |   95.45 |    71.11 |     100 |    95.6 | 86-90                                                                                                                                                                                                                                                                                                           
  sales_agreements.ts            |   79.37 |    56.66 |   83.33 |   88.37 | 56-59,65-74,285-287,301-302,353-355                                                                                                                                                                                                                                                                             
  users.ts                       |   15.45 |        0 |       8 |   17.97 | 19-22,26-50,62-80,91-93,96-98,102-106,111-115,120-121,125-144,148-169                                                                                                                                                                                                                                           
